Appeal_Reference,Departmental_Reference,Development_Description,House_Number,Street_Name,Postcode,Decision_Date,PAC_Decision_Outcome,X,Y
2013/E026,EN/2011/0313/CA/01,The alleged unauthorised erection of a building for use as 2 no. apartments at first floor level and office/storage on ground floor level,2,Dudley Street,BT7 1GW,23-Sep-14,Dismissed,334172.9991,372776.0004
2014/A0028,Q/2014/0048/F,"Proposed installation of a wind turbine (150 kw) on a tubular tower - hub height up to 41.5m, blade diameter 20m and tip height up to 51.5m with associated switch room.",56,Legananny Road,BT31 9TG,20-Oct-14,Allowed,328760.9992,343270.0012
2014/E0002,EN/2014/0310,Unauthorised creation of a hard-cored yard; unauthorised creation of an access; unauthorised creation of earth bank; unauthorised deposit of inert material; unauthorised siting of building materials; unauthorised storage of end of life vehicles; unauthorised parking of vehicles,72,Rathfriland Road,BT34 1LE,14-Aug-15,Withdrawn,310267.9984,327963.0008
2014/E0005,EN/R/2011/0028/CA,The unauthorised construction of a building,71,Ardglass Road,BT30 7PR,10-Nov-14,Dismissed,358975.998,343513.0014
2014/E0004,EN/2014/0074,Alleged unauthorised erection of buildings and unauthorised construction of an underground storage tank.,24,Casheltown Road,BT42 2PR,01-Dec-14,Dismissed,301176.9989,399734
2014/E0006,EN/2014/0082,Alleged unauthorised change of use of land for business and commercial storage with associated infilling of land and retaining wall,52,St Patrick's Road,BT30 7JJ,09-Sep-14,Withdrawn,353170.9993,347380.0018
2014/E0008,EN/2014/0099,"Alleged unauthorised mechanics/body spraying business operating from a ""domestic"" garage, being development carried out without the grant of planning permission required.",12,Rocklea Road,BT81 7NN,10-Nov-14,Dismissed,230314.0005,384392.9987
2014/E0009,EN/2014/0120,"Alleged part change of use of a building to a hairdressing salon, being development carried out without the express grant of planning permission required in that regard.",70,Moneyhaw Road,BT45 7XR,06-Nov-14,Dismissed,286253.9987,379298.0017
2014/E0010,EN/2014/0056,"Alleged unauthorised decking being development carried out without the grant of planning permission required,",42,Marlborough Street,BT48 9AY,28-Oct-14,Allowed,242823.0002,417061.9999
2014/E0003,EN/Z/2009/0335/C,"Alleged unauthorised erection of lean-to extension to rear of premises,",169,Antrim Road,BT15 2GA,10-Nov-14,Dismissed,333395.9979,375869.0012
2014/E0012,EN/2014/0100,"Alleged unauthorised works to a building within a Conservation Area, including the provision of a new shop front,",36,High Street,BT78 1BQ,19-Mar-15,NotValid,245150.0001,372658.0008
2014/E0015,EN/2014/0146,"The alleged unauthorised erection of steel structure with associated concrete base, unauthorised siting of storage container, unauthorised erection of a cattle crush and creation of an area of hardstanding, , being development without the grant of the necess",164,Navan Fort Road,BT60 4PY,26-Nov-14,Dismissed,281050.9982,345538.0003
2014/E0017,EN/2014/0160,"Alleged unauthorised use of the land for car parking making amaterial change of use of the said lands, being development carried out without the grant of planning permission required. For avoidance of doubt this does not include the parking of cars for purposes incidental to the enjoyment of the dwelling house at 6 Antrim Road as a dwelling house. it does not include any parking ancillary to the authorised agricultural use of the land or parking ancillary to the approved livery business granted permission under T/2011/0061/F.",6,Antrim Road,BT29 4DX,29-Dec-14,Withdrawn,314732.9998,381180.0008
2014/E0018,EN/2014/0170,The alleged unauthorised material change of use of land for the purposes of industrial processes (Class B3) and storage (Class B4).,51,Knockanroe Road,BT71 5LX,16-Mar-15,Dismissed,285255.9979,375856.0012
2014/E0020,EN/2014/0176,"The alleged unauthorised erection of a building, being used for retail sales and storage; therefore being development without the grant of the necessary planning permission.",69A,Tullysaran Road,BT61 8HE,17-Dec-14,Dismissed,283592.9987,349258.0016
2014/E0013,EN/2014/0086,"Alleged unauthorised crection of a building, the sitting of steel cabin, the infilling of land and the creation of hardcored yard; being development carried out without the grant of planning permission",,Dorans Hill,BT35 8EJ,13-Jan-15,Varied,307860.9989,326138.0007
2014/E0022,EN/2014/0181,"Alleged unauthorised dwelling and vehicular access, being development carried out without the grant of planning permission required.",37,Dunnaval Road,BT34 4JT,05-Dec-14,Withdrawn,328395.9978,313183.0003
2014/E0021,EN/2014/0166,"The alleged unauthorised construction of a housing development not in accordance with planning consents Z/2009/0746/F and Z/2011/0600/F: (a) Alleged unauthorised dwellings (house types and extensions); (b) Alleged unauthorised site re-grading including infilling, excavation, earth retaining structures, walls and other means of enclosure; and (c) Alleged unauthorised road layout.",72,Upper Malone Road,BT9 5PD,03-Aug-15,Allowed,331387.9984,369231.0021
2014/E0023,EN/2014/0213,"Alleged three unauthorised buildings, being development carried out without the grant of planning permission required.",111,Newry Road,BT32 3NB,04-Feb-15,Withdrawn,312016.9983,344601
2014/E0024,EN/2014/0201,"Alleged unauthorised use of land for the maintenance, repair, sale, valeting and stationing of vehicles; making a material change in the use of the said lands being development carried out without the grant of planning permission required.",135A,Kilraughts Road,BT53 8LR,30-Apr-15,Dismissed,299040.9993,426100.9995
